edge_id,u,v,generator,generator_index,flipped_conorm,tau,L,sigma,epsilon,kappa_hist,Omega,s,chi,status
0,0,1,S1,1,p12,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
1,0,2,S2,2,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
2,0,3,S3,3,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
3,0,157,S4,4,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
4,0,92,S5,5,p02,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
5,0,27,S6,6,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
6,0,4,S7,7,p12,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
7,0,52,S8,8,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
8,0,102,S9,9,p23,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
9,0,150,S10,10,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
10,0,18,S11,11,p23,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
11,0,22,S12,12,p02,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
12,1,3,S2,2,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
13,1,2,S3,3,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
14,1,158,S4,4,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
15,1,94,S5,5,p02,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
16,1,25,S6,6,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
17,1,5,S7,7,p12,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
18,1,55,S8,8,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
19,1,100,S9,9,p23,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
