segment_id,layer,node_u,node_v,length_px300,tortuosity,stroke_radius_med_px300,polyline_px300,status
S000,reinforced,N000,N008,414.877,1.078859,3.197,"[[1594.0,534.0],[1617.0,421.0],[1645.0,331.0],[1712.0,168.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S001,reinforced,N001,N010,380.296,1.065792,3.0,"[[1955.0,600.0],[1971.0,435.0],[2000.0,249.0],[1991.0,245.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S002,ordinary,N002,N003,50.971,1.072174,1.4,"[[1401.0,373.0],[1413.0,327.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S003,reinforced,N002,N008,278.174,1.040966,3.197,"[[1420.0,329.0],[1589.0,536.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S004,ordinary,N004,N006,93.284,1.068288,1.4,"[[1376.0,483.0],[1381.0,460.0],[1387.0,444.0],[1396.0,398.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S005,ordinary,N005,N011,206.191,1.036253,1.4,"[[1213.0,490.0],[1256.0,551.0],[1339.0,644.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S006,ordinary,N005,N017,305.941,1.030742,1.0,"[[1185.0,790.0],[1187.0,627.0],[1207.0,494.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S007,ordinary,N007,N008,40.113,1.065607,1.4,"[[1596.0,538.0],[1600.0,537.0],[1602.0,533.0],[1625.0,514.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S008,reinforced,N009,N013,198.456,1.034452,3.0,"[[1571.0,744.0],[1579.0,627.0],[1589.0,553.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S009,reinforced,N010,N033,350.113,1.026441,3.0,"[[1946.0,946.0],[1945.0,804.0],[1954.0,605.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S010,ordinary,N012,N015,35.799,1.081348,1.4,"[[796.0,741.0],[766.0,755.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
S011,ordinary,N012,N016,50.426,1.041548,1.0,"[[839.0,773.0],[801.0,743.0]]",AUTO_HIGH_CONFIDENCE_SOURCE_STROKE
