sector_id,relator,half_word,four_boundary,five_boundary,six_boundary,ker_d5_sector,next_kernel,status
P2_01,R1_F1^2,F1,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_02,R1_F2^2,F2,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_03,R1_F3^2,F3,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_04,R2a_E12F1,E12 F1,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_05,R2b_E12F2,E12 F2,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_06,R2a_E13F1,E13 F1,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_07,R2b_E13F3,E13 F3,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_08,R2a_E21F2,E21 F2,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_09,R2b_E21F1,E21 F1,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_10,R2a_E23F2,E23 F2,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_11,R2b_E23F3,E23 F3,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_12,R2a_E31F3,E31 F3,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_13,R2b_E31F1,E31 F1,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_14,R2a_E32F3,E32 F3,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_15,R2b_E32F2,E32 F2,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_16,R2c_F1F2,F1 F2,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_17,R2c_F1F3,F1 F3,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
P2_18,R2c_F2F3,F2 F3,(1-g)e_r,(1+g)f,(1-g)h,R(1-g) h ~= R/R(1+g),R(1+g) k ~= R/R(1-g),PROVEN_2_PERIODIC_ORDER2_TAIL
