direction_id,relator,coefficient
CHIRES_01,R2c_F1F2,1
CHIRES_01,R2c_F1F3,-1
CHIRES_01,R2c_F2F3,1
CHIRES_02,R3a1_123,1
CHIRES_03,R3a2_123,1
CHIRES_04,R3a2_132,1
CHIRES_05,R3a1_213,1
CHIRES_06,R3a2_213,1
CHIRES_07,R3a4_132,1
CHIRES_07,R3a3_231,1
CHIRES_08,R3a3_132,1
CHIRES_08,R3a4_231,1
CHIRES_09,R3a1_312,1
CHIRES_10,R3a4_213,1
CHIRES_10,R3a3_312,1
CHIRES_11,R3a3_213,1
CHIRES_11,R3a4_312,1
CHIRES_12,R3a4_123,1
CHIRES_12,R3a3_321,1
CHIRES_13,R3a3_123,1
CHIRES_13,R3a4_321,1
CHIRES_14,R3b_123,1
