lift_id,target,relator,group_word,group_radius,coefficient
R2PURE_01,CHIRES_01,R1_F2^2,E12^-1*F1,2,1
R2PURE_01,CHIRES_01,R1_F2^2,F1*F3,2,-1
R2PURE_01,CHIRES_01,R1_F2^2,E12^-1,1,1
R2PURE_01,CHIRES_01,R1_F2^2,F2*F3,2,-1
R2PURE_01,CHIRES_01,R1_F3^2,E13^-1*F1,2,-1
R2PURE_01,CHIRES_01,R1_F3^2,F1*F3,2,-1
R2PURE_01,CHIRES_01,R1_F3^2,E13^-1,1,-1
R2PURE_01,CHIRES_01,R1_F3^2,E23^-1*F2,2,1
R2PURE_01,CHIRES_01,R1_F3^2,F2*F3,2,1
R2PURE_01,CHIRES_01,R1_F3^2,E23^-1,1,1
R2PURE_01,CHIRES_01,R2a_E12F1,F1,1,1
R2PURE_01,CHIRES_01,R2a_E12F1,F2,1,1
R2PURE_01,CHIRES_01,R2b_E12F2,F1,1,-1
R2PURE_01,CHIRES_01,R2b_E12F2,E12^-1,1,-1
R2PURE_01,CHIRES_01,R2a_E13F1,F1,1,-1
R2PURE_01,CHIRES_01,R2a_E13F1,F3,1,-1
R2PURE_01,CHIRES_01,R2b_E13F3,F1,1,1
R2PURE_01,CHIRES_01,R2b_E13F3,E13^-1,1,1
R2PURE_01,CHIRES_01,R2a_E23F2,F2,1,1
R2PURE_01,CHIRES_01,R2a_E23F2,F3,1,1
R2PURE_01,CHIRES_01,R2b_E23F3,F2,1,-1
R2PURE_01,CHIRES_01,R2b_E23F3,E23^-1,1,-1
R2PURE_01,CHIRES_01,R2c_F1F2,E12^-1*F1,2,-1
R2PURE_01,CHIRES_01,R2c_F1F2,F1*F3,2,1
R2PURE_01,CHIRES_01,R2c_F1F3,E13^-1*F1,2,1
R2PURE_01,CHIRES_01,R2c_F1F3,F1*F2,2,-1
R2PURE_01,CHIRES_01,R2c_F2F3,F1*F2,2,1
R2PURE_01,CHIRES_01,R2c_F2F3,E23^-1*F2,2,-1
R2PURE_02,CHIRES_02,R1_F1^2,F1,1,1
R2PURE_02,CHIRES_02,R1_F1^2,E12^-1*E13,2,-1
R2PURE_02,CHIRES_02,R2a_E12F1,F1,1,-1
R2PURE_02,CHIRES_02,R2a_E12F1,E13*F1,2,1
R2PURE_02,CHIRES_02,R2a_E13F1,E13*F1,2,-1
R2PURE_02,CHIRES_02,R2a_E13F1,E12^-1,1,1
R2PURE_02,CHIRES_02,R3a1_123,E12^-1*F1,2,-1
R2PURE_02,CHIRES_02,R3a1_123,E13,1,1
R2PURE_03,CHIRES_03,R1_F2^2,E12^-1*E32,2,-1
R2PURE_03,CHIRES_03,R1_F2^2,F2,1,1
R2PURE_03,CHIRES_03,R2b_E12F2,E12^-1,1,-1
R2PURE_03,CHIRES_03,R2b_E12F2,E12^-1*E32,2,1
R2PURE_03,CHIRES_03,R2b_E32F2,E12^-1,1,1
R2PURE_03,CHIRES_03,R2b_E32F2,E32*F2,2,-1
R2PURE_03,CHIRES_03,R3a2_123,E32,1,1
R2PURE_03,CHIRES_03,R3a2_123,E12^-1*F2,2,-1
R2PURE_04,CHIRES_04,R1_F3^2,E13^-1*E23,2,-1
R2PURE_04,CHIRES_04,R1_F3^2,F3,1,1
R2PURE_04,CHIRES_04,R2b_E13F3,E13^-1,1,-1
R2PURE_04,CHIRES_04,R2b_E13F3,E13^-1*E23,2,1
R2PURE_04,CHIRES_04,R2b_E23F3,E13^-1,1,1
R2PURE_04,CHIRES_04,R2b_E23F3,E23*F3,2,-1
R2PURE_04,CHIRES_04,R3a2_132,E23,1,1
R2PURE_04,CHIRES_04,R3a2_132,E13^-1*F3,2,-1
R2PURE_05,CHIRES_05,R1_F1^2,F1*F2,2,-1
R2PURE_05,CHIRES_05,R1_F1^2,E13^-1*F2,2,-1
R2PURE_05,CHIRES_05,R1_F2^2,E12^-1*F1,2,1
R2PURE_05,CHIRES_05,R1_F2^2,E12^-1,1,1
R2PURE_05,CHIRES_05,R1_F2^2,E21*E13^-1,2,1
R2PURE_05,CHIRES_05,R1_F2^2,E21*E23^-1,2,1
R2PURE_05,CHIRES_05,R2a_E12F1,F1,1,1
R2PURE_05,CHIRES_05,R2a_E12F1,F2,1,1
R2PURE_05,CHIRES_05,R2b_E12F2,F1,1,-1
R2PURE_05,CHIRES_05,R2b_E12F2,E12^-1,1,-1
R2PURE_05,CHIRES_05,R2a_E13F1,F1*F2,2,1
R2PURE_05,CHIRES_05,R2a_E13F1,F1,1,-1
R2PURE_05,CHIRES_05,R2a_E21F2,E13^-1*E23^-1,2,1
R2PURE_05,CHIRES_05,R2a_E21F2,E23^-1,1,-1
R2PURE_05,CHIRES_05,R2a_E23F2,E13^-1*F2,2,-1
R2PURE_05,CHIRES_05,R2a_E23F2,E21*E13^-1,2,-1
R2PURE_05,CHIRES_05,R2a_E23F2,F2,1,1
R2PURE_05,CHIRES_05,R2a_E23F2,E21*F2,2,-1
R2PURE_05,CHIRES_05,R2c_F1F2,E12^-1*F1,2,-1
R2PURE_05,CHIRES_05,R2c_F1F2,E13^-1*F1,2,1
R2PURE_05,CHIRES_05,R3a2_132,E23^-1*F2,2,-1
R2PURE_05,CHIRES_05,R3a2_132,1,0,-1
R2PURE_05,CHIRES_05,R3a2_132,E21*F2,2,-1
R2PURE_05,CHIRES_05,R3a2_132,E21*E23,2,-1
R2PURE_05,CHIRES_05,R3a3_132,E13^-1*F1,2,-1
R2PURE_05,CHIRES_05,R3a3_132,E21*F2,2,1
R2PURE_05,CHIRES_05,R3a4_132,E23^-1*F2,2,1
R2PURE_05,CHIRES_05,R3a4_132,E21*E23,2,1
R2PURE_05,CHIRES_05,R3a1_213,E23^-1*F2,2,-1
R2PURE_05,CHIRES_05,R3a1_213,F2,1,-1
R2PURE_06,CHIRES_06,R1_F1^2,F1,1,1
R2PURE_06,CHIRES_06,R1_F1^2,E21^-1*E31,2,-1
R2PURE_06,CHIRES_06,R2b_E21F1,E31*F1,2,1
R2PURE_06,CHIRES_06,R2b_E21F1,F1,1,-1
R2PURE_06,CHIRES_06,R2b_E31F1,E31*F1,2,-1
R2PURE_06,CHIRES_06,R2b_E31F1,E21^-1,1,1
R2PURE_06,CHIRES_06,R3a2_213,E21^-1*F1,2,-1
R2PURE_06,CHIRES_06,R3a2_213,E31,1,1
R2PURE_07,CHIRES_07,R1_F1^2,E13^-1*F1,2,1
R2PURE_07,CHIRES_07,R1_F1^2,E23^-1*F1,2,-1
R2PURE_07,CHIRES_07,R1_F1^2,E13^-1*F2,2,1
R2PURE_07,CHIRES_07,R1_F1^2,E13^-1*E23^-1,2,-1
R2PURE_07,CHIRES_07,R1_F1^2,E21*E23^-1,2,-1
R2PURE_07,CHIRES_07,R1_F1^2,E13*E23,2,1
R2PURE_07,CHIRES_07,R1_F2^2,E23*F1,2,-1
R2PURE_07,CHIRES_07,R1_F2^2,E21*E13^-1,2,-1
R2PURE_07,CHIRES_07,R1_F2^2,E13*E23,2,-1
R2PURE_07,CHIRES_07,R1_F2^2,E13*E21,2,1
R2PURE_07,CHIRES_07,R1_F3^2,E13*F3,2,1
R2PURE_07,CHIRES_07,R1_F3^2,E23*F3,2,-1
R2PURE_07,CHIRES_07,R2a_E13F1,F1*F2,2,-1
R2PURE_07,CHIRES_07,R2a_E13F1,E23^-1*F1,2,1
R2PURE_07,CHIRES_07,R2a_E13F1,E23,1,-1
R2PURE_07,CHIRES_07,R2a_E13F1,E21*E23^-1,2,1
R2PURE_07,CHIRES_07,R2b_E13F3,E13*F3,2,-1
R2PURE_07,CHIRES_07,R2b_E13F3,E23,1,1
R2PURE_07,CHIRES_07,R2a_E21F2,E13^-1*E23^-1,2,-1
R2PURE_07,CHIRES_07,R2a_E21F2,1,0,1
R2PURE_07,CHIRES_07,R2a_E21F2,E13,1,-1
R2PURE_07,CHIRES_07,R2a_E21F2,E13*E23,2,1
R2PURE_07,CHIRES_07,R2b_E21F1,E23^-1,1,1
R2PURE_07,CHIRES_07,R2b_E21F1,E13*E23,2,-1
R2PURE_07,CHIRES_07,R2a_E23F2,F1,1,1
R2PURE_07,CHIRES_07,R2a_E23F2,E13^-1*F2,2,1
R2PURE_07,CHIRES_07,R2a_E23F2,E21*E13^-1,2,1
R2PURE_07,CHIRES_07,R2a_E23F2,E23*F2,2,-1
R2PURE_07,CHIRES_07,R2a_E23F2,E13,1,1
R2PURE_07,CHIRES_07,R2a_E23F2,E13*E21,2,-1
R2PURE_07,CHIRES_07,R2b_E23F3,E23*F3,2,1
R2PURE_07,CHIRES_07,R2b_E23F3,E13,1,-1
R2PURE_07,CHIRES_07,R2c_F1F2,E13^-1*F1,2,-1
R2PURE_07,CHIRES_07,R2c_F1F2,E23*F1,2,1
R2PURE_07,CHIRES_07,R3a2_132,E13^-1*F1,2,-1
R2PURE_07,CHIRES_07,R3a2_132,E23^-1*F2,2,1
R2PURE_07,CHIRES_07,R3a2_132,F3,1,-1
R2PURE_07,CHIRES_07,R3a2_132,E21*F2,2,1
R2PURE_07,CHIRES_07,R3a2_132,E21*E23,2,1
R2PURE_07,CHIRES_07,R3a2_132,E21*E13,2,-1
R2PURE_07,CHIRES_07,R3a3_132,E13^-1*F1,2,1
R2PURE_07,CHIRES_07,R3a3_132,E21*F2,2,-1
R2PURE_07,CHIRES_07,R3a4_132,E23*F1,2,-1
R2PURE_07,CHIRES_07,R3a4_132,E23^-1*F2,2,-1
R2PURE_07,CHIRES_07,R3a4_132,E21*E23,2,-1
R2PURE_07,CHIRES_07,R3a4_132,E21*E13,2,1
R2PURE_07,CHIRES_07,R3a1_213,F2,1,1
R2PURE_07,CHIRES_07,R3a1_213,E13*F2,2,-1
R2PURE_07,CHIRES_07,R3a3_231,E13^-1*F1,2,-1
R2PURE_07,CHIRES_07,R3a3_231,F1*F2,2,1
R2PURE_08,CHIRES_08,R1_F1^2,F1*F2,2,-1
R2PURE_08,CHIRES_08,R1_F1^2,F1,1,-1
R2PURE_08,CHIRES_08,R1_F1^2,E13*F1,2,1
R2PURE_08,CHIRES_08,R1_F1^2,E12^-1*E13,2,1
R2PURE_08,CHIRES_08,R1_F1^2,E13^-1*F2,2,-1
R2PURE_08,CHIRES_08,R1_F1^2,E13*E23,2,-1
R2PURE_08,CHIRES_08,R1_F1^2,E12*E13^-1,2,1
R2PURE_08,CHIRES_08,R1_F1^2,E23*E12,2,1
