row_vertex,col_edge,value
0,2,1
0,3,-1
0,5,-1
0,9,1
0,12,-1
0,18,1
1,0,-1
1,3,1
1,4,1
2,1,1
2,2,-1
2,8,1
3,0,1
3,1,-1
3,7,-1
3,13,-1
4,5,1
4,6,-1
4,11,-1
5,4,-1
5,6,1
5,10,1
5,19,1
6,7,1
6,8,-1
6,9,-1
6,15,1
6,16,-1
6,29,1
7,10,-1
7,11,1
7,12,1
7,20,-1
7,23,1
7,36,-1
8,14,1
8,15,-1
8,25,1
8,26,-1
8,44,1
8,46,-1
9,13,1
9,14,-1
9,24,-1
9,41,-1
10,17,1
10,18,-1
10,22,-1
10,31,1
10,39,-1
10,52,1
11,16,1
11,17,-1
11,30,-1
12,20,1
12,21,-1
12,34,-1
12,37,1
12,55,-1
12,57,1
13,19,-1
13,21,1
13,33,1
14,22,1
14,23,-1
14,38,1
15,24,1
15,25,-1
15,43,1
16,28,1
16,29,-1
16,32,-1
17,26,1
17,27,-1
17,45,1
18,27,1
18,28,-1
18,48,-1
18,49,1
18,65,-1
18,69,1
19,30,1
19,31,-1
19,32,1
19,48,1
19,50,-1
19,67,1
20,34,1
20,35,-1
20,54,-1
21,33,-1
21,35,1
21,53,1
21,73,1
22,36,1
22,37,-1
22,38,-1
22,40,1
22,56,-1
22,58,1
23,39,1
23,40,-1
23,59,-1
23,61,1
23,80,-1
23,82,1
24,42,1
24,43,-1
24,44,-1
24,62,-1
25,41,1
25,42,-1
26,46,1
26,47,-1
26,63,1
27,45,-1
27,47,1
27,49,-1
27,64,1
27,68,-1
27,85,1
28,51,1
28,52,-1
28,60,-1
29,50,1
29,51,-1
29,70,1
29,71,-1
29,92,1
29,93,-1
30,53,-1
30,54,1
30,55,1
30,74,-1
30,78,1
30,95,-1
31,56,1
31,57,-1
31,76,-1
32,58,-1
32,59,1
32,79,-1
33,60,1
33,61,-1
33,72,1
33,81,-1
34,62,1
34,63,-1
34,64,-1
34,83,-1
35,66,1
35,67,-1
35,70,-1
35,88,1
35,90,-1
35,103,1
36,65,1
36,66,-1
36,86,-1
37,68,1
37,69,-1
37,86,1
37,87,-1
37,89,1
37,100,1
38,71,1
38,72,-1
38,94,1
38,107,1
39,74,1
39,75,-1
39,96,1
39,108,-1
40,73,-1
40,75,1
41,76,1
41,77,-1
41,79,1
41,118,1
41,119,-1
42,77,1
42,78,-1
42,97,-1
43,81,1
43,82,-1
43,120,1
44,84,1
44,85,-1
44,89,-1
45,83,1
45,84,-1
45,98,-1
45,111,-1
46,87,1
46,88,-1
46,101,-1
46,104,1
46,110,1
46,113,-1
47,90,1
47,91,-1
47,121,1
48,91,1
48,92,-1
48,105,-1
48,106,-1
49,93,1
49,94,-1
49,105,1
50,95,1
50,96,-1
50,97,1
50,119,1
50,122,1
51,99,1
51,100,-1
51,104,-1
52,98,1
52,99,-1
52,109,-1
52,112,1
53,101,1
53,102,-1
53,114,1
53,117,1
54,102,1
54,103,-1
54,121,-1
55,106,1
55,107,-1
56,109,1
56,110,-1
56,115,-1
56,116,-1
57,111,1
57,112,-1
58,113,1
58,114,-1
58,115,1
59,116,1
59,117,-1
60,80,1
60,118,-1
60,120,-1
61,108,1
61,122,-1
