route,step,factor,a,b,c,g,h,k,exact_Q0,first_numerical_repeat,central_exact_symmetry
T=P R P^-1,0,START,12,-1,-5,0,0,0,True,,False
T=P R P^-1,1,P1,3,-1,-5,0,0,-3,False,,False
T=P R P^-1,2,P2,3,-4,-5,0,0,0,False,,False
T=P R P^-1,3,R1,3,-4,-2,0,3,0,False,,False
T=P R P^-1,4,R2,7,-4,-2,0,1,0,False,,False
T=P R P^-1,5,R3,7,-4,-2,0,1,0,False,4,True
T=P R P^-1,6,R4,3,-4,-2,0,3,0,False,3,False
T=P R P^-1,7,R5,3,-4,-5,0,0,0,False,2,False
T=P R P^-1,8,P2^-1,3,-1,-5,0,0,-3,False,1,False
T=P R P^-1,9,P1^-1,12,-1,-5,0,0,0,True,0,False
U=Q S Q^-1,0,START,12,-1,-5,0,0,0,True,,False
U=Q S Q^-1,1,Q1,7,-1,-5,0,-5,0,False,,False
U=Q S Q^-1,2,Q2,7,-1,-8,0,2,0,False,,False
U=Q S Q^-1,3,Q3,3,-1,-8,0,-6,0,False,,False
U=Q S Q^-1,4,Q4,3,-1,-20,0,0,0,False,,False
U=Q S Q^-1,5,S1,2,-1,-20,0,0,-1,False,,False
U=Q S Q^-1,6,S2,2,-1,-20,0,0,-1,False,5,True
U=Q S Q^-1,7,S3,3,-1,-20,0,0,0,False,4,False
U=Q S Q^-1,8,Q4^-1,3,-1,-8,0,-6,0,False,3,False
U=Q S Q^-1,9,Q3^-1,7,-1,-8,0,2,0,False,2,False
U=Q S Q^-1,10,Q2^-1,7,-1,-5,0,-5,0,False,1,False
U=Q S Q^-1,11,Q1^-1,12,-1,-5,0,0,0,True,0,False
