region_id,centroid_x_px300,centroid_y_px300,area_px2_300,bbox_w_px300,bbox_h_px300,stability_k15_k17_k19,solid_boundary_support,classification,historical_field_status,historical_field_id,historical_form_label,ordered_boundary_cycle,repetition_of,stabilizer_word,field_assignment_status
R000,1619.527,297.903,12130,129,209,2,0.362464,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R001,1357.847,667.504,93572,396,428,3,0.220654,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R002,1608.58,611.111,1537,41,49,3,0.148256,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R003,1439.067,804.057,3102,65,73,3,0.352612,STABLE_CLOSED_REGION_MEDIUM,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R004,1445.333,878.96,3453,63,98,3,0.212695,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R005,1489.048,872.393,1218,35,45,3,0.0,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R006,1171.483,887.65,3525,103,45,3,0.213376,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R007,1670.044,1165.141,1515,39,55,2,0.0,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R008,886.727,1660.845,212693,501,692,3,0.289358,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R009,1711.113,1362.362,2324,47,70,3,0.0,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R010,1633.686,1421.232,3469,62,96,2,0.0,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R011,1180.592,1552.786,3784,87,74,2,0.190722,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R012,1241.768,1605.318,1467,34,57,2,0.0,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R013,1240.694,1808.754,6705,113,87,2,0.219212,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R014,1136.828,1919.804,24055,249,229,3,0.554645,STABLE_CLOSED_REGION_HIGH,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R015,1725.458,1823.472,4108,141,59,2,0.327465,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R016,981.447,1896.414,9110,106,152,3,0.430796,STABLE_CLOSED_REGION_HIGH,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R017,1315.053,1870.461,2409,45,83,2,0.498016,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R018,1363.41,1915.839,8009,117,120,3,0.217314,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R019,1491.261,1883.014,2677,55,59,3,0.252212,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R020,1548.681,1874.764,1329,54,33,3,0.38253,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R021,1498.726,1939.182,3677,93,79,3,0.333333,STABLE_CLOSED_REGION_MEDIUM,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R022,1261.069,1948.712,2061,44,74,3,0.45229,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R023,571.892,2002.391,1185,51,29,3,0.0,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R024,946.277,2267.39,176779,564,513,2,0.437707,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R025,1146.124,2151.671,28154,235,378,2,0.38571,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R026,419.976,2022.438,2456,68,57,3,0.423387,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R027,406.599,2113.742,16226,146,208,2,0.44029,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R028,1211.415,2038.547,2997,70,69,3,0.539931,STABLE_CLOSED_REGION_MEDIUM,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R029,552.54,2040.125,3922,110,50,3,0.323899,STABLE_CLOSED_REGION_MEDIUM,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
R030,719.579,2040.904,1982,68,47,3,0.388655,MORPHOLOGICAL_CANDIDATE,NOT_PROMOTED_WITHOUT_LAYER/INCIDENCE_MANUAL_CONFIRMATION,,,,,,NT_SOURCE_GEOMETRIC_MATCHING
