index,segment_id,layer,photo_support_fraction,photo_support_class
0,S000,reinforced,1.0,CONFIRMED
1,S001,reinforced,0.904761905,CONFIRMED
2,S002,ordinary,1.0,CONFIRMED
3,S003,reinforced,1.0,CONFIRMED
4,S004,ordinary,1.0,CONFIRMED
5,S005,ordinary,1.0,CONFIRMED
6,S006,ordinary,1.0,CONFIRMED
7,S007,ordinary,0.956521739,CONFIRMED
8,S008,reinforced,1.0,CONFIRMED
9,S009,reinforced,1.0,CONFIRMED
10,S010,ordinary,1.0,CONFIRMED
11,S011,ordinary,1.0,CONFIRMED
12,S012,ordinary,1.0,CONFIRMED
13,S013,reinforced,1.0,CONFIRMED
14,S014,ordinary,1.0,CONFIRMED
15,S015,ordinary,1.0,CONFIRMED
16,S016,ordinary,1.0,CONFIRMED
17,S017,ordinary,1.0,CONFIRMED
18,S018,ordinary,1.0,CONFIRMED
19,S019,ordinary,1.0,CONFIRMED
20,S020,ordinary,1.0,CONFIRMED
21,S021,ordinary,1.0,CONFIRMED
22,S022,ordinary,1.0,CONFIRMED
23,S023,ordinary,1.0,CONFIRMED
24,S024,ordinary,1.0,CONFIRMED
25,S025,ordinary,1.0,CONFIRMED
26,S026,ordinary,1.0,CONFIRMED
27,S027,ordinary,1.0,CONFIRMED
28,S028,ordinary,1.0,CONFIRMED
29,S029,ordinary,1.0,CONFIRMED
30,S030,ordinary,1.0,CONFIRMED
31,S031,ordinary,1.0,CONFIRMED
32,S032,ordinary,1.0,CONFIRMED
33,S033,ordinary,1.0,CONFIRMED
34,S034,ordinary,1.0,CONFIRMED
35,S035,ordinary,1.0,CONFIRMED
36,S036,ordinary,0.428571429,PARTIAL
37,S037,ordinary,1.0,CONFIRMED
38,S038,reinforced,1.0,CONFIRMED
39,S039,reinforced,1.0,CONFIRMED
40,S040,ordinary,1.0,CONFIRMED
41,S041,ordinary,1.0,CONFIRMED
42,S042,reinforced,1.0,CONFIRMED
43,S043,ordinary,1.0,CONFIRMED
44,S044,ordinary,1.0,CONFIRMED
45,S045,ordinary,1.0,CONFIRMED
46,S046,reinforced,1.0,CONFIRMED
47,S047,ordinary,1.0,CONFIRMED
48,S048,reinforced,1.0,CONFIRMED
49,S049,reinforced,1.0,CONFIRMED
50,S050,reinforced,1.0,CONFIRMED
51,S051,reinforced,1.0,CONFIRMED
52,S052,reinforced,1.0,CONFIRMED
53,S053,ordinary,1.0,CONFIRMED
54,S054,ordinary,1.0,CONFIRMED
55,S055,reinforced,1.0,CONFIRMED
56,S056,ordinary,1.0,CONFIRMED
57,S057,ordinary,1.0,CONFIRMED
58,S058,ordinary,1.0,CONFIRMED
59,S059,ordinary,1.0,CONFIRMED
60,S060,ordinary,1.0,CONFIRMED
61,S061,ordinary,1.0,CONFIRMED
62,S062,ordinary,1.0,CONFIRMED
63,S063,ordinary,1.0,CONFIRMED
64,S064,ordinary,1.0,CONFIRMED
65,S065,ordinary,1.0,CONFIRMED
66,S066,ordinary,1.0,CONFIRMED
67,S067,ordinary,1.0,CONFIRMED
68,S068,reinforced,1.0,CONFIRMED
69,S069,ordinary,1.0,CONFIRMED
70,S070,ordinary,0.835616438,CONFIRMED
71,S071,ordinary,1.0,CONFIRMED
72,S072,ordinary,0.964285714,CONFIRMED
73,S073,ordinary,1.0,CONFIRMED
74,S074,reinforced,1.0,CONFIRMED
75,S075,reinforced,1.0,CONFIRMED
76,S076,reinforced,1.0,CONFIRMED
77,S077,ordinary,1.0,CONFIRMED
78,S078,ordinary,1.0,CONFIRMED
79,S079,ordinary,0.952380952,CONFIRMED
80,S080,reinforced,1.0,CONFIRMED
81,S081,reinforced,1.0,CONFIRMED
82,S082,reinforced,1.0,CONFIRMED
83,S083,ordinary,1.0,CONFIRMED
84,S084,ordinary,1.0,CONFIRMED
85,S085,ordinary,1.0,CONFIRMED
86,S086,ordinary,1.0,CONFIRMED
87,S087,ordinary,1.0,CONFIRMED
88,S088,ordinary,1.0,CONFIRMED
89,S089,ordinary,1.0,CONFIRMED
90,S090,ordinary,1.0,CONFIRMED
91,S091,ordinary,1.0,CONFIRMED
92,S092,ordinary,1.0,CONFIRMED
93,S093,ordinary,1.0,CONFIRMED
94,S094,ordinary,1.0,CONFIRMED
95,S095,ordinary,0.951219512,CONFIRMED
96,S096,reinforced,0.252336449,WEAK
97,S097,reinforced,0.256410256,WEAK
98,W000,serpentine,1.0,CONFIRMED
99,W001,serpentine,1.0,CONFIRMED
100,Y000,symmetry_candidate,0.212317666,WEAK
101,Y001,symmetry_candidate,0.720994475,PARTIAL
102,Y002,symmetry_candidate,0.141414141,WEAK
103,Y003,symmetry_candidate,0.472,PARTIAL
104,Y004,symmetry_candidate,0.345882353,WEAK
