edge_id,global_curve_status,final_positive_status,basis,hax_membership,geom_support_eps,dark_support_eps,geom_median_px,geom_p95_px,was_old_108_NT,newly_resolved_from_old_NT
0,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,0.34999999999999964,True,True
1,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.03773584905660377,0.20754716981132076,38.05259518088089,69.53817657792924,True,False
2,NT-GEOMETRIC-REALIZATION,SOURCE-LABELLED-HAX-INCIDENCE,EXACT-V50-HAX-FACTOR + PQ-ANCHORED-RHAX-CARRIER,HAX0,0.0,0.0,76.40026177965623,83.0301115245865,True,True
3,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.05172413793103448,0.41379310344827586,42.277760717859124,78.51927918947806,True,False
4,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,1.0,True,True
5,NT-GEOMETRIC-REALIZATION,SOURCE-LABELLED-HAX-INCIDENCE,EXACT-V50-HAX-FACTOR + PQ-ANCHORED-RHAX-CARRIER,HAX0,0.0,0.2033898305084746,67.08203932499369,81.46992244186502,True,True
6,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.10810810810810811,0.13513513513513514,25.179356624028344,48.422179373375954,True,False
7,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.03225806451612903,0.1774193548387097,43.4312586815283,68.57815407521949,True,False
8,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0,59.90826320300064,66.09687744953062,True,False
9,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0,68.9492567037528,83.07706006785297,True,False
10,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0196078431372549,0.1503267973856209,48.0,57.0,True,False
11,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.11382113821138211,64.03124237432849,68.61767222987935,True,False
12,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.2543859649122807,61.65601091339107,86.76361841801996,True,False
13,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,0.3499999999999943,True,True
14,NT-GEOMETRIC-REALIZATION,SOURCE-LABELLED-HAX-INCIDENCE,EXACT-V50-HAX-FACTOR + PQ-ANCHORED-RHAX-CARRIER,HAX0,0.16666666666666666,0.2037037037037037,13.20820393249937,30.92047610196498,True,True
15,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.08333333333333333,0.4791666666666667,21.83091257733066,48.987633637760034,True,False
16,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.08928571428571429,0.25,22.23387333290554,49.4297101463912,True,False
17,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.1951219512195122,66.80286906811217,96.71728448222801,True,False
18,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.03676470588235294,0.0661764705882353,51.657025283393274,83.0947955999049,True,False
19,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,0.0,True,True
20,NT-GEOMETRIC-REALIZATION,SOURCE-LABELLED-HAX-INCIDENCE,EXACT-V50-HAX-FACTOR + PQ-ANCHORED-RHAX-CARRIER,HAX0,0.0,0.0,52.952809179494906,57.19260081314115,True,True
21,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.017964071856287425,0.0718562874251497,38.0,46.76938475568051,True,False
22,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.26136363636363635,29.832566468689194,64.29965564108646,True,False
23,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.047619047619047616,58.0,58.077534382926416,True,False
24,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.21951219512195122,0.2682926829268293,9.848857801796104,21.0,True,False
25,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0,25.495097567963924,33.83016813248142,True,False
26,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.20833333333333334,45.967379738244816,52.23680361571235,True,False
27,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.45454545454545453,41.67129809170988,42.19239606117746,True,False
28,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.05333333333333334,0.4266666666666667,41.400483088968905,67.0,True,False
29,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0,41.78516483155236,52.576346399058245,True,False
30,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0,47.932179996326404,57.515041233222775,True,False
31,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.4339622641509434,74.67261881037788,98.14182519777677,True,False
32,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.04878048780487805,0.04878048780487805,29.618988693604575,56.01420551415479,True,False
33,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,0.0,False,False
34,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.07017543859649122,34.36568055487916,46.02823908234038,True,False
35,NT-GEOMETRIC-REALIZATION,SOURCE-LABELLED-HAX-INCIDENCE,EXACT-V50-HAX-FACTOR + PQ-ANCHORED-RHAX-CARRIER,HAX0,0.02631578947368421,0.19298245614035087,14.560219778561036,20.143150253111997,True,True
36,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.027777777777777776,57.3149195236284,58.00861812854691,True,False
37,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.125,53.0,57.28870837138113,True,False
38,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.1875,58.086119964591084,59.0,True,False
39,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.040983606557377046,0.13934426229508196,38.7181014188142,91.45510783452046,True,False
40,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.2857142857142857,72.53275122315436,120.26073940619021,True,False
41,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,2.53224755112299,True,True
42,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX0,1.0,1.0,0.0,1.3313708498984749,False,False
43,NT-GEOMETRIC-REALIZATION,SOURCE-LABELLED-HAX-INCIDENCE,EXACT-V50-HAX-FACTOR + PQ-ANCHORED-RHAX-CARRIER,HAX1,0.21739130434782608,0.21739130434782608,10.815072906367325,21.948801849940438,True,True
44,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.17307692307692307,0.19230769230769232,12.863961030678928,36.87325394193526,True,False
45,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.4090909090909091,26.25680487008826,40.49842422929906,True,False
46,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.3181818181818182,41.01829041577144,48.72742526039852,True,False
47,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.6086956521739131,21.93171219946131,30.27243138634199,True,False
48,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.057971014492753624,0.463768115942029,32.28002478313795,53.50477725293421,True,False
49,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.3,26.53987637537611,38.52080098578163,True,False
50,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.02459016393442623,0.10655737704918032,67.71262162691534,99.46330981220963,True,False
51,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.07692307692307693,0.10256410256410256,23.259406699226016,36.023534186398685,True,False
52,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.16853932584269662,27.730849247724095,35.41745505881967,True,False
53,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.015384615384615385,0.09743589743589744,14.0,18.0,True,False
54,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0975609756097561,19.0,20.994030650891055,True,False
55,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.11764705882352941,33.5,46.349999999999994,True,False
