generator_id,relator,half_word,g_matrix,cycle_formula,status
Z4L1_1,R1_F1^2,F1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",(1-g)e_R1_F1^2,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_2,R1_F2^2,F2,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",(1-g)e_R1_F2^2,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_3,R1_F3^2,F3,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",(1-g)e_R1_F3^2,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_4,R2b_E21F1,E21 F1,"[[-1, 0, 0], [-2, 1, 0], [0, 0, 1]]",(1-g)e_R2b_E21F1,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_5,R2a_E23F2,E23 F2,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",(1-g)e_R2a_E23F2,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_6,R2b_E23F3,E23 F3,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",(1-g)e_R2b_E23F3,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_7,R2b_E31F1,E31 F1,"[[-1, 0, 0], [0, 1, 0], [-2, 0, 1]]",(1-g)e_R2b_E31F1,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_8,R2a_E32F3,E32 F3,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",(1-g)e_R2a_E32F3,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_9,R2b_E32F2,E32 F2,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",(1-g)e_R2b_E32F2,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_10,R2c_F1F2,F1 F2,"[[-1, 0, 0], [0, -1, 0], [0, 0, 1]]",(1-g)e_R2c_F1F2,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_11,R2c_F1F3,F1 F3,"[[-1, 0, 0], [0, 1, 0], [0, 0, -1]]",(1-g)e_R2c_F1F3,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
Z4L1_12,R2c_F2F3,F2 F3,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",(1-g)e_R2c_F2F3,PROVEN_NEW_LENGTH1_GENERATOR_RELATIVE_TO_V42
