edge_id,kind,walls,endpoints,final_historical_incidence,provenance
0,BOUNDARY-ORBIT,m,"[2, 0]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
1,BOUNDARY-ORBIT,g,"[0, 1]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
2,BOUNDARY-ORBIT,g|k,"[1, 3]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
3,BOUNDARY-ORBIT,h,"[3, 2]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
4,BOUNDARY-ORBIT,h,"[4, 5]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
5,BOUNDARY-ORBIT,g|k,"[5, 1]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
6,BOUNDARY-ORBIT,m,"[0, 4]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
7,BOUNDARY-ORBIT,g,"[3, 6]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
8,BOUNDARY-ORBIT,m,"[6, 2]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
9,BOUNDARY-ORBIT,g,"[6, 0]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
10,BOUNDARY-ORBIT,m,"[4, 7]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
11,BOUNDARY-ORBIT,g,"[7, 5]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
12,BOUNDARY-ORBIT,g,"[0, 7]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
13,BOUNDARY-ORBIT,m,"[8, 6]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
14,BOUNDARY-ORBIT,l|n,"[3, 9]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
15,BOUNDARY-ORBIT,k,"[9, 8]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
16,BOUNDARY-ORBIT,m,"[10, 0]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
17,BOUNDARY-ORBIT,n,"[6, 11]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
18,BOUNDARY-ORBIT,k,"[11, 10]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
19,BOUNDARY-ORBIT,l,"[12, 13]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
20,BOUNDARY-ORBIT,l|n,"[13, 5]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
21,BOUNDARY-ORBIT,m,"[7, 12]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
22,BOUNDARY-ORBIT,k,"[10, 14]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
23,BOUNDARY-ORBIT,n,"[14, 7]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
24,BOUNDARY-ORBIT,h,"[9, 15]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
25,BOUNDARY-ORBIT,m,"[15, 8]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
26,BOUNDARY-ORBIT,g,"[16, 6]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
27,BOUNDARY-ORBIT,k,"[8, 17]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
28,BOUNDARY-ORBIT,n,"[17, 18]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
29,BOUNDARY-ORBIT,l,"[18, 16]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
30,BOUNDARY-ORBIT,n,"[11, 19]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
31,BOUNDARY-ORBIT,m,"[19, 10]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
32,BOUNDARY-ORBIT,l,"[16, 19]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
33,BOUNDARY-ORBIT,m,"[12, 20]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
34,BOUNDARY-ORBIT,h,"[20, 21]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION ; PROVEN-SOURCE-EXACT-PROPAGATION-FROM-e96-COUNTERFACTUAL-117-GATE
35,BOUNDARY-ORBIT,l|n,"[21, 13]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
36,BOUNDARY-ORBIT,g,"[7, 22]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
37,BOUNDARY-ORBIT,n,"[22, 12]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
38,BOUNDARY-ORBIT,m,"[10, 23]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
39,BOUNDARY-ORBIT,g,"[23, 22]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
40,BOUNDARY-ORBIT,n,"[22, 14]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
41,BOUNDARY-ORBIT,m,"[24, 15]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
42,BOUNDARY-ORBIT,l|n,"[9, 25]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
43,BOUNDARY-ORBIT,k|l,"[25, 24]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
44,BOUNDARY-ORBIT,k,"[24, 8]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
45,BOUNDARY-ORBIT,m,"[8, 26]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
46,BOUNDARY-ORBIT,h,"[26, 27]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
47,BOUNDARY-ORBIT,n,"[27, 17]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
48,BOUNDARY-ORBIT,n,"[18, 19]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
