node_id,x_px300,y_px300,x_px600,y_px600,degree_solid,ordinary_degree,reinforced_degree,status
N000,1710.667,165.222,3421.333,330.444,1,0,1,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N001,1989.0,245.0,3978.0,490.0,1,0,1,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N002,1417.5,326.0,2835.0,652.0,2,1,1,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N003,1401.0,375.0,2802.0,750.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N004,1396.0,396.0,2792.0,792.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N005,1210.1,488.625,2420.2,977.25,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N006,1375.5,486.5,2751.0,973.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N007,1627.0,513.0,3254.0,1026.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N008,1592.5,537.5,3185.0,1075.0,3,1,2,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N009,1589.886,548.371,3179.771,1096.743,1,0,1,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N010,1953.6,602.4,3907.2,1204.8,2,0,2,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N011,1341.0,645.0,2682.0,1290.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N012,798.667,740.167,1597.333,1480.333,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N013,1571.333,747.0,3142.667,1494.0,1,0,1,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N014,1569.0,754.286,3138.0,1508.571,1,0,1,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N015,763.778,759.333,1527.556,1518.667,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N016,841.0,774.0,1682.0,1548.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N017,1185.333,793.0,2370.667,1586.0,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N018,670.875,800.875,1341.75,1601.75,3,3,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N019,1485.0,810.0,2970.0,1620.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N020,1375.0,834.0,2750.0,1668.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N021,667.0,837.0,1334.0,1674.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N022,1408.974,849.053,2817.947,1698.105,4,4,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N023,1132.5,874.5,2265.0,1749.0,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N024,668.0,884.0,1336.0,1768.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N025,1304.0,889.0,2608.0,1778.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N026,814.0,897.0,1628.0,1794.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N027,440.92,903.92,881.84,1807.84,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N028,1096.571,904.571,2193.143,1809.143,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N029,880.0,925.0,1760.0,1850.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N030,1412.4,929.4,2824.8,1858.8,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N031,1007.0,937.0,2014.0,1874.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N032,955.0,939.0,1910.0,1878.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N033,1946.333,949.0,3892.667,1898.0,1,0,1,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N034,1578.0,958.0,3156.0,1916.0,1,0,1,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N035,1414.833,966.333,2829.667,1932.667,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N036,521.0,974.0,1042.0,1948.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N037,256.0,979.0,512.0,1958.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N038,404.0,989.0,808.0,1978.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N039,537.0,994.0,1074.0,1988.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N040,688.0,1006.0,1376.0,2012.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N041,1418.556,1007.333,2837.111,2014.667,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N042,1335.0,1077.333,2670.0,2154.667,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N043,285.0,1104.0,570.0,2208.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N044,1311.0,1107.0,2622.0,2214.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N045,1197.0,1110.0,2394.0,2220.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N046,289.0,1122.0,578.0,2244.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N047,1287.0,1136.0,2574.0,2272.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N048,1236.056,1208.111,2472.111,2416.222,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N049,410.0,1211.0,820.0,2422.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N050,1214.0,1249.0,2428.0,2498.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N051,1954.0,1257.0,3908.0,2514.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N052,710.0,1260.0,1420.0,2520.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N053,653.444,1303.667,1306.889,2607.333,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N054,657.559,1315.265,1315.118,2630.529,3,1,2,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N055,1181.5,1318.0,2363.0,2636.0,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N056,1603.0,1358.0,3206.0,2716.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N057,334.875,1362.625,669.75,2725.25,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N058,538.875,1378.25,1077.75,2756.5,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N059,891.0,1381.0,1782.0,2762.0,2,0,2,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N060,1962.0,1382.0,3924.0,2764.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N061,479.0,1395.0,958.0,2790.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N062,1590.645,1420.29,3181.29,2840.581,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N063,1585.333,1431.0,3170.667,2862.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N064,1964.909,1474.636,3929.818,2949.273,2,1,1,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N065,1578.909,1489.909,3157.818,2979.818,3,2,1,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N066,1141.765,1493.647,2283.529,2987.294,3,1,2,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N067,1917.0,1497.0,3834.0,2994.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N068,1535.0,1510.0,3070.0,3020.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N069,1145.4,1593.4,2290.8,3186.8,2,0,2,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N070,694.167,1699.667,1388.333,3399.333,2,0,2,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N071,2004.9,1715.95,4009.8,3431.9,2,0,2,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N072,1175.4,1746.4,2350.8,3492.8,1,0,1,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N073,1176.455,1755.636,2352.909,3511.273,2,1,1,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N074,1853.0,1759.0,3706.0,3518.0,2,2,0,SOURCE_STROKE_NODE_AUTO_CONFIRMED
N075,1895.4,1766.6,3790.8,3533.2,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N076,827.0,1782.0,1654.0,3564.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
N077,1298.0,1800.0,2596.0,3600.0,1,1,0,SOURCE_STROKE_ENDPOINT_AUTO_CONFIRMED
