row_edge,col_face,value
0,0,1
1,0,1
1,2,-1
2,0,1
2,3,-1
3,0,1
3,1,-1
4,1,1
5,1,1
5,5,-1
6,1,1
6,4,-1
7,2,1
7,6,-1
8,2,1
8,3,-1
9,3,1
9,7,-1
10,4,1
10,8,-1
11,4,1
11,5,-1
12,5,1
12,9,-1
13,6,1
14,6,1
14,10,-1
15,6,1
15,11,-1
16,7,1
16,13,-1
17,7,1
17,12,-1
18,7,1
18,9,-1
19,8,1
20,8,1
20,15,-1
21,8,1
21,14,-1
22,9,1
22,16,-1
23,9,1
23,17,-1
24,10,1
24,18,-1
25,10,1
25,19,-1
26,11,1
26,20,-1
27,11,1
27,22,-1
28,11,1
28,21,-1
29,11,1
29,13,-1
30,12,1
30,13,-1
31,12,1
31,23,-1
32,13,1
32,21,-1
33,14,1
34,14,1
34,25,-1
35,14,1
35,24,-1
36,15,1
36,17,-1
37,15,1
37,26,-1
38,16,1
38,17,-1
39,16,1
39,28,-1
40,16,1
40,27,-1
41,18,1
42,18,1
43,18,1
43,19,-1
44,19,1
44,29,-1
45,20,1
45,22,-1
46,20,1
46,29,-1
47,20,1
47,30,-1
48,21,1
48,31,-1
49,22,1
49,32,-1
50,23,1
50,33,-1
51,23,1
51,34,-1
52,23,1
52,28,-1
53,24,1
53,35,-1
54,24,1
54,25,-1
55,25,1
55,36,-1
56,26,1
56,37,-1
57,26,1
57,36,-1
58,27,1
58,37,-1
59,27,1
59,38,-1
60,28,1
60,34,-1
61,28,1
61,39,-1
62,29,1
63,29,1
63,30,-1
64,30,1
64,40,-1
65,31,1
65,42,-1
66,31,1
66,41,-1
67,31,1
67,33,-1
68,32,1
68,43,-1
69,32,1
69,42,-1
70,33,1
70,44,-1
71,34,1
71,45,-1
72,34,1
73,35,1
74,35,1
74,46,-1
75,35,1
76,36,1
76,37,-1
77,36,1
77,48,-1
78,36,1
78,47,-1
79,37,1
79,38,-1
80,38,1
80,49,1
81,39,1
82,39,1
82,49,1
83,40,1
84,40,1
84,50,-1
85,40,1
85,43,-1
86,41,1
86,42,-1
87,41,1
87,52,-1
88,41,1
88,51,-1
89,43,1
89,50,-1
90,44,1
90,53,-1
91,44,1
92,44,1
92,54,-1
93,45,1
93,54,-1
94,45,1
94,55,-1
95,46,1
95,47,-1
96,46,1
96,56,1
97,47,1
97,48,-1
98,50,1
98,58,-1
99,50,1
99,57,-1
100,50,1
100,52,-1
101,51,1
101,59,-1
102,51,1
103,51,1
103,53,-1
104,52,1
104,57,-1
105,54,1
105,55,-1
106,55,1
107,55,1
108,56,1
109,57,1
110,57,1
110,60,-1
111,58,1
112,58,1
113,59,1
113,60,-1
114,59,1
114,61,-1
115,60,1
115,61,-1
116,61,1
117,61,1
118,38,1
119,48,1
120,49,1
121,53,1
122,56,1
