index,u,v,edge_generator,word,length,tau_monodromy,deck_matrix,lambda2,memory_coeff_u1_u2_u3
0,0,1,S1,S5 S12 S1 S9 S1,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
1,0,2,S2,S5 S12 S2 S3 S9 S1,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"-1,1,0"
2,0,3,S3,S5 S12 S3 S10 S3,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
3,0,157,S4,S5 S12 S4 S12 S4,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
4,0,92,S5,S5 S12 S5 S12,4,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
5,0,27,S6,S5 S12 S6 S12 S6,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
6,0,4,S7,S5 S12 S7 S11 S5,5,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
7,0,52,S8,S5 S12 S8 S3 S10 S1,6,1,"[[-1, 0, 0], [0, -1, 0], [0, -2, 1]]",100010010,"-1,0,1"
8,0,102,S9,S5 S12 S9 S1 S9,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
9,0,150,S10,S5 S12 S10 S3 S10,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
10,0,18,S11,S5 S12 S11 S7 S5,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
11,1,3,S2,S1 S9 S2 S10 S3,5,-1,"[[1, -2, 0], [0, 1, 0], [2, -2, -1]]",010000111,
12,1,158,S4,S1 S9 S4 S8 S4 S1,6,1,"[[1, -2, 0], [0, 1, 0], [0, -2, 1]]",010000010,"1,-2,1"
13,1,94,S5,S1 S9 S5 S9 S7,5,-1,"[[1, 0, 0], [-2, -1, 2], [0, 0, 1]]",000111000,
14,1,55,S8,S1 S9 S8 S10 S1,5,-1,"[[-1, 0, 0], [0, 1, 0], [-2, 0, 1]]",100000100,
15,1,149,S10,S1 S9 S10 S8 S1,5,-1,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]",001000001,
16,1,19,S11,S1 S9 S11 S1 S5,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
17,1,23,S12,S1 S9 S12 S5 S9,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
18,2,3,S1,S1 S9 S3 S1 S10 S3,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"0,-1,1"
19,2,159,S4,S1 S9 S3 S4 S7 S4 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
20,2,95,S5,S1 S9 S3 S5 S12 S8,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"1,-1,0"
21,2,26,S6,S1 S9 S3 S6 S11 S6 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
22,2,7,S7,S1 S9 S3 S7 S4 S7 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
23,2,54,S8,S1 S9 S3 S8 S1 S10 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
24,2,103,S9,S1 S9 S3 S9 S1 S10,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,-1,1"
25,2,151,S10,S1 S9 S3 S10 S3 S9,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"0,0,0"
26,2,16,S11,S1 S9 S3 S11 S6 S11 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
27,2,21,S12,S1 S9 S3 S12 S5 S8,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"1,-1,0"
28,3,156,S4,S3 S10 S4 S3 S12,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
29,3,93,S5,S3 S10 S5 S12 S10,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
30,3,24,S6,S3 S10 S6 S10 S5 S3,6,1,"[[1, -2, 2], [0, -1, 2], [0, -2, 3]]",011011011,"-1,2,-1"
31,3,53,S8,S3 S10 S8 S9 S3,5,-1,"[[-1, 2, 0], [0, 1, 0], [-2, 2, 1]]",110000110,
32,3,101,S9,S3 S10 S9 S8 S3,5,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
33,3,20,S12,S3 S10 S12 S10 S6,5,-1,"[[3, -2, -2], [2, -1, -2], [2, -2, -1]]",111111111,
34,4,5,S1,S5 S11 S1 S7 S9 S1,6,1,"[[1, 0, 0], [2, 1, 0], [0, 0, 1]]",000100000,"-1,1,0"
35,4,6,S2,S5 S11 S2 S7 S10 S3,6,1,"[[1, -2, 0], [2, -3, 0], [0, 0, 1]]",010100000,"-2,0,2"
36,4,7,S3,S5 S11 S3 S4 S7 S2,6,1,"[[-1, 0, 0], [-2, 1, 0], [-2, 2, -1]]",100100111,"0,0,0"
37,4,153,S4,S5 S11 S4 S6 S7,5,-1,"[[1, 0, -2], [2, 1, -4], [0, 0, -1]]",001100001,
38,4,80,S5,S5 S11 S5 S7,4,1,"[[1, 0, 0], [2, 1, 0], [0, 0, 1]]",000100000,"-2,1,1"
39,4,31,S6,S5 S11 S6 S4 S7,5,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
40,4,48,S8,S5 S11 S8 S10 S5 S1,6,1,"[[-1, 0, 0], [-2, -1, 2], [0, 0, 1]]",100111000,"-3,2,1"
41,4,118,S9,S5 S11 S9 S5 S1,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
42,4,162,S10,S5 S11 S10 S8 S5 S1,6,1,"[[-1, 0, 2], [-2, -1, 4], [0, 0, 1]]",101110000,"-1,0,1"
43,4,18,S12,S5 S11 S12 S7 S5,5,-1,"[[1, 0, 0], [2, -1, 2], [0, 0, 1]]",000111000,
44,5,7,S2,S1 S9 S7 S2 S4 S7 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, -2, 1]]",100000010,
45,5,6,S3,S1 S9 S7 S3 S7 S10 S3,7,-1,"[[1, -2, 0], [0, 1, 0], [0, 0, -1]]",010000001,
46,5,154,S4,S1 S9 S7 S4 S7 S9 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
47,5,82,S5,S1 S9 S7 S5 S7 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,-3,2"
48,5,29,S6,S1 S9 S7 S6 S7 S9 S3,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
49,5,51,S8,S1 S9 S7 S8 S10 S12 S1,7,-1,"[[-1, 0, 0], [2, 1, -2], [-2, 0, 1]]",100101100,
50,5,116,S9,S1 S9 S7 S9 S12 S1,6,1,"[[1, 0, 0], [0, 1, -2], [0, 0, 1]]",000001000,"-1,-1,2"
51,5,161,S10,S1 S9 S7 S10 S8 S12 S1,7,-1,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]",001000001,
52,5,23,S11,S1 S9 S7 S11 S5 S9,6,1,"[[1, 0, 0], [-2, 1, 0], [0, 0, 1]]",000100000,"-1,-2,3"
53,5,19,S12,S1 S9 S7 S12 S1 S5,6,1,"[[1, 0, 0], [0, 1, -2], [0, 0, 1]]",000001000,"2,-3,1"
54,6,7,S1,S3 S10 S7 S1 S4 S7 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
55,6,155,S4,S3 S10 S7 S4 S7 S10 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
56,6,83,S5,S3 S10 S7 S5 S7 S10,6,1,"[[1, 2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"1,0,-1"
57,6,30,S6,S3 S10 S7 S6 S7 S10 S1,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
58,6,50,S8,S3 S10 S7 S8 S11 S6,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 0, -1]]",110000001,"1,0,-1"
59,6,119,S9,S3 S10 S7 S9 S12 S8 S3,7,-1,"[[1, -2, 2], [0, -1, 2], [0, 0, 1]]",011011000,
60,6,163,S10,S3 S10 S7 S10 S2 S5 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
61,6,20,S11,S3 S10 S7 S11 S10 S6,6,1,"[[-1, 2, -2], [0, 1, -2], [0, 0, -1]]",111001001,"0,-1,1"
62,6,17,S12,S3 S10 S7 S12 S11 S10 S3,7,-1,"[[1, -4, 0], [0, -1, 0], [0, -2, 1]]",000010010,
63,7,81,S5,S2 S7 S4 S5 S7 S8,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 2, -1]]",100000011,"1,-1,0"
64,7,28,S6,S2 S7 S4 S6 S11 S5 S2,7,-1,"[[1, 0, 0], [2, -1, 0], [2, -2, 1]]",000110110,
65,7,49,S8,S2 S7 S4 S8 S6 S9 S3,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
66,7,117,S9,S2 S7 S4 S9 S5 S8 S3,7,-1,"[[-1, 0, 2], [-2, 1, 2], [-2, 2, 1]]",101101110,
67,7,160,S10,S2 S7 S4 S10 S3 S11,6,1,"[[1, -2, 0], [0, -1, 0], [0, 0, -1]]",010010001,"-1,1,0"
68,7,21,S11,S2 S7 S4 S11 S5 S8,6,1,"[[-1, 0, 0], [-2, 1, 0], [-2, 2, -1]]",100100111,"-1,0,1"
