edge_id	figure	source_class	wall	target_class	witness_records	source_status	raster_status
Fig2:QEDGE:000	Fig2	0	k	3	4,9,19,27	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:001	Fig2	0	m	4	4,9,19,27	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:002	Fig2	0	n	6	4,9,19,27	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:003	Fig2	1	g	4	6,20,25	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:004	Fig2	1	k	2	6,20,25	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:005	Fig2	1	m	2	6,20,25	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:006	Fig2	2	g	2	3,8,16,21,24,29	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:007	Fig2	2	k	1	3,8,16,21,24,29	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:008	Fig2	2	m	5	3,8,16,21,24,29	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:009	Fig2	3	g	5	2,12,17,26	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:010	Fig2	3	k	0	2,12,17,26	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:011	Fig2	3	n	6	2,12,17,26	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:012	Fig2	4	g	1	7,23,30	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:013	Fig2	4	k	0	7,23,30	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:014	Fig2	4	m	0	7,23,30	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:015	Fig2	5	g	2	1,10,13,22,28	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:016	Fig2	5	k	7	1,10,13,22,28	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:017	Fig2	5	m	3	1,10,13,22,28	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:018	Fig2	5	n	5	1,10,13,22,28	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:019	Fig2	6	h	0	5,11,15,31	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:020	Fig2	6	k	6	5,11,15,31	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:021	Fig2	6	m	3	5,11,15,31	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:022	Fig2	7	h	5	0,14,18	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:023	Fig2	7	k	7	0,14,18	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:024	Fig2	7	m	5	0,14,18	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig2:QEDGE:025	Fig2	7	n	7	0,14,18	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:000	Fig3	0	k	3	19,26	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:001	Fig3	0	m	5	19,26	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:002	Fig3	0	n	7	19,26	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:003	Fig3	1	g	5	18	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:004	Fig3	1	k	2	18	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:005	Fig3	1	m	2	18	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:006	Fig3	2	g	2	12,24	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:007	Fig3	2	k	1	12,24	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:008	Fig3	2	m	6	12,24	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:009	Fig3	3	g	6	13,29	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:010	Fig3	3	k	0	13,29	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:011	Fig3	3	n	7	13,29	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:012	Fig3	4	g	8	11,35	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:013	Fig3	4	m	9	11,35	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:014	Fig3	4	n	13	11,35	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:015	Fig3	5	g	1	23	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:016	Fig3	5	k	0	23	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:017	Fig3	5	m	0	23	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:018	Fig3	6	g	3	7,27	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:019	Fig3	6	k	10	7,27	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:020	Fig3	6	m	2	7,27	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:021	Fig3	6	n	9	7,27	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:022	Fig3	7	h	0	20,30	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:023	Fig3	7	k	8	20,30	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:024	Fig3	7	m	3	20,30	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
